city,period,units_total_absorption,fitted_units
Chennai,Q4-2016,3538.0,3795.507236286007
Chennai,Q1-2017,3524.0,3753.4653299610136
Chennai,Q2-2017,3082.0,3205.7602995687953
Chennai,Q3-2017,2861.0,3107.841555046511
Chennai,Q4-2017,2900.0,3310.8104163010794
Chennai,Q1-2018,3634.0,3587.518462042473
Chennai,Q2-2018,4067.0,3986.038465109589
Chennai,Q3-2018,4384.0,4319.673081200187
Chennai,Q4-2018,4387.0,4341.020029972266
Chennai,Q1-2019,4380.0,4347.919502666139
Chennai,Q2-2019,4042.0,4085.366180442553
Chennai,Q3-2019,3801.0,3946.858062249412
Chennai,Q4-2019,4088.0,3981.3496140520547
Chennai,Q1-2020,3884.0,3940.3717039968365
Chennai,Q2-2020,1286.0,1459.2153687517366
Chennai,Q3-2020,2937.0,3078.307791544412
Chennai,Q4-2020,4503.0,4316.780285746571
Chennai,Q1-2021,4869.0,4594.333027323018
Chennai,Q2-2021,2594.0,3019.9049510843683
Chennai,Q3-2021,4071.0,4072.6385605289897
Chennai,Q4-2021,4434.0,4261.041875766396
Chennai,Q1-2022,4085.0,4290.332923067832
Chennai,Q2-2022,4079.0,3954.5275025841433
Chennai,Q3-2022,4317.0,4247.508046889564
Chennai,Q4-2022,4922.0,4538.835577796676
Chennai,Q1-2023,6009.0,5700.543001264164
Chennai,Q2-2023,5213.0,5377.089752425578
Chennai,Q3-2023,5721.0,5467.874499600221
Chennai,Q4-2023,4636.0,5110.2096108708565
Chennai,Q1-2024,4834.0,4952.897420550173
Chennai,Q2-2024,4953.0,4745.421307727258
Chennai,Q3-2024,4734.0,4681.488633528811
Chennai,Q4-2024,4696.0,4816.974855638149
Chennai,Q1-2025,4977.0,4858.771287826627
Chennai,Q2-2025,5487.0,5322.590415868527
Chennai,Q3-2025,5657.0,5369.554748811465
Chennai,Q4-2025,4724.0,5173.323141001482
Hyderabad,Q1-2008,6682.0,
Hyderabad,Q2-2008,5610.0,
Hyderabad,Q3-2008,4904.0,
Hyderabad,Q4-2008,3003.0,
Hyderabad,Q1-2009,2952.0,3035.1766203339353
Hyderabad,Q2-2009,3856.0,3477.114263079841
Hyderabad,Q3-2009,3896.0,3708.1581469446196
Hyderabad,Q4-2009,3704.0,3834.4509452849816
Hyderabad,Q1-2010,3833.0,3971.653811176846
Hyderabad,Q2-2010,3503.0,3544.400049349688
Hyderabad,Q3-2010,3466.0,3547.6871151751407
Hyderabad,Q4-2010,4905.0,4361.520445262781
Hyderabad,Q1-2011,5358.0,5146.470225298033
Hyderabad,Q2-2011,5484.0,5197.350771202504
Hyderabad,Q3-2011,3804.0,4478.802966670537
Hyderabad,Q4-2011,4021.0,4158.785063745793
Hyderabad,Q1-2012,4973.0,4700.058918279688
Hyderabad,Q2-2012,5177.0,4963.510140938929
Hyderabad,Q3-2012,5368.0,5551.053512370079
Hyderabad,Q4-2012,5671.0,5581.66643939616
Hyderabad,Q1-2013,6145.0,5913.2101809190335
Hyderabad,Q2-2013,5367.0,5471.355390871832
Hyderabad,Q3-2013,5180.0,5066.42564244593
Hyderabad,Q4-2013,5359.0,5138.967505207869
Hyderabad,Q1-2014,5240.0,5208.145391041587
Hyderabad,Q2-2014,4925.0,5076.151999884993
Hyderabad,Q3-2014,4566.0,4790.875677546538
Hyderabad,Q4-2014,4432.0,4365.501179383143
Hyderabad,Q1-2015,4667.0,4545.569584025546
Hyderabad,Q2-2015,5068.0,4810.894266831301
Hyderabad,Q3-2015,5195.0,5319.349112375676
Hyderabad,Q4-2015,5293.0,5346.713869770223
Hyderabad,Q1-2016,6545.0,5748.326100610248
Hyderabad,Q2-2016,6155.0,6567.318857133777
Hyderabad,Q3-2016,5735.0,6150.204153242573
Hyderabad,Q4-2016,4685.0,4820.700648298177
Hyderabad,Q1-2017,5756.0,5286.9753866859155
Hyderabad,Q2-2017,6703.0,5816.937564345384
Hyderabad,Q3-2017,6626.0,6612.054249319621
Hyderabad,Q4-2017,6525.0,7010.173934273494
Hyderabad,Q1-2018,7052.0,6972.941829651405
Hyderabad,Q2-2018,7129.0,7216.82783299057
Hyderabad,Q3-2018,7195.0,7237.125017259505
Hyderabad,Q4-2018,7620.0,7548.155761046768
Hyderabad,Q1-2019,7754.0,7616.326945765064
Hyderabad,Q2-2019,7384.0,7688.440857515417
Hyderabad,Q3-2019,7961.0,7750.236899763429
Hyderabad,Q4-2019,8819.0,8879.446971134354
Hyderabad,Q1-2020,9652.0,9912.353413487313
Hyderabad,Q2-2020,3205.0,3551.2858752742677
Hyderabad,Q3-2020,6852.0,5931.819329863951
Hyderabad,Q4-2020,10264.0,9667.22444146011
Hyderabad,Q1-2021,12649.0,11798.607295139365
Hyderabad,Q2-2021,9336.0,8919.21621407086
Hyderabad,Q3-2021,11629.0,10681.483316521739
Hyderabad,Q4-2021,14386.0,14534.108371264452
Hyderabad,Q1-2022,16513.0,16532.599580517737
Hyderabad,Q2-2022,16014.0,15338.005054751073
Hyderabad,Q3-2022,17433.0,16938.53165357293
Hyderabad,Q4-2022,18435.0,18488.597362717795
Hyderabad,Q1-2023,19053.0,18536.31690828408
Hyderabad,Q2-2023,18179.0,17933.84261303464
Hyderabad,Q3-2023,20212.0,20647.377717250907
Hyderabad,Q4-2023,23427.0,23448.410011165837
Hyderabad,Q1-2024,20710.0,21941.25324957018
Hyderabad,Q2-2024,14692.0,15542.47521257105
Hyderabad,Q3-2024,12298.0,12730.050442081183
Hyderabad,Q4-2024,13566.0,13584.814587297067
Hyderabad,Q1-2025,13852.0,14038.042322768162
Hyderabad,Q2-2025,12431.0,12722.51586061841
Hyderabad,Q3-2025,13018.0,12694.106053847503
Hyderabad,Q4-2025,11750.0,12222.816647201185
